 2013-Dec-08 12:00     20 49 15.08 -17 05 10.7 1.23099244851985   1.4404418  10.237852
 2013-Dec-09 12:00     20 53 11.21 -16 48 40.3 1.23182447201413   1.4405746  10.244772
 2013-Dec-10 12:00     20 57 06.63 -16 31 53.1 1.23265659681678   1.4408051  10.251692
 2013-Dec-11 12:00     21 01 01.33 -16 14 49.7 1.23348889787576   1.4411920  10.258614
 2013-Dec-12 12:00     21 04 55.32 -15 57 30.3 1.23432147538810   1.4417656  10.265539
 2013-Dec-13 12:00     21 08 48.61 -15 39 55.3 1.23515444082895   1.4425353  10.272466
 2013-Dec-14 12:00     21 12 41.19 -15 22 05.0 1.23598790573804   1.4434926  10.279398
 2013-Dec-15 12:00     21 16 33.08 -15 03 59.9 1.23682197285339   1.4446157  10.286335
 2013-Dec-16 12:00     21 20 24.28 -14 45 40.2 1.23765672887234   1.4458718  10.293277
 2013-Dec-17 12:00     21 24 14.79 -14 27 06.2 1.23849223855204   1.4472176  10.300226
 2013-Dec-18 12:00     21 28 04.64 -14 08 18.5 1.23932854043251   1.4486058  10.307181
 2013-Dec-19 12:00     21 31 53.82 -13 49 17.2 1.24016564151271   1.4499760  10.314143
 2013-Dec-20 12:00     21 35 42.35 -13 30 02.7 1.24100351553437   1.4512725  10.321112
 2013-Dec-21 12:00     21 39 30.24 -13 10 35.5 1.24184210274178   1.4524352  10.328086
 2013-Dec-22 12:00     21 43 17.51 -12 50 55.7 1.24268130805284   1.4534025  10.335065
 2013-Dec-23 12:00     21 47 04.17 -12 31 03.9 1.24352100027407   1.4541102  10.342049
 2013-Dec-24 12:00     21 50 50.23 -12 11 00.2 1.24436101007619   1.4544901  10.349035
 2013-Dec-25 12:00     21 54 35.70 -11 50 45.2 1.24520112666774   1.4544667  10.356022
 2013-Dec-26 12:00     21 58 20.61 -11 30 19.0 1.24604109227851   1.4539519  10.363008
 2013-Dec-27 12:00     22 02 04.96 -11 09 42.1 1.24688059537972   1.4528479  10.369990
 2013-Dec-28 12:00     22 05 48.78 -10 48 54.8 1.24771926483605   1.4510468  10.376965
 2013-Dec-29 12:00     22 09 32.07 -10 27 57.5 1.24855666657961   1.4484411  10.383929
 2013-Dec-30 12:00     22 13 14.86 -10 06 50.5 1.24939230741701   1.4449366  10.390879
 2013-Dec-31 12:00     22 16 57.16 -09 45 34.1 1.25022565103793   1.4404828  10.397810
 2014-Jan-01 12:00     22 20 38.98 -09 24 09.3 1.25105423064616   1.4350882  10.404701
 2014-Jan-02 12:00     22 24 20.33 -09 02 35.3 1.25188136152395   1.4288472  10.411580
 2014-Jan-03 12:00     22 28 01.23 -08 40 53.1 1.25270467798333   1.4219104  10.418427
 2014-Jan-04 12:00     22 31 41.70 -08 19 03.1 1.25352383239596   1.4144688  10.425240
 2014-Jan-05 12:00     22 35 21.73 -07 57 05.5 1.25433859022391   1.4067175  10.432016
 2014-Jan-06 12:00     22 39 01.36 -07 35 00.9 1.25514882308706   1.3988256  10.438754
 2014-Jan-07 12:00     22 42 40.58 -07 12 49.5 1.25595448937557   1.3909232  10.445455
 2014-Jan-08 12:00     22 46 19.41 -06 50 31.7 1.25675561040874   1.3830998  10.452118
 2014-Jan-09 12:00     22 49 57.87 -06 28 08.0 1.25755225047354   1.3754126  10.458743
 2014-Jan-10 12:00     22 53 35.98 -06 05 38.5 1.25834449764681   1.3678933  10.465332
 2014-Jan-11 12:00     22 57 13.75 -05 43 03.7 1.25913245319592   1.3605534  10.471885
 2014-Jan-12 12:00     23 00 51.20 -05 20 24.0 1.25991622251814   1.3533983  10.478404
 2014-Jan-13 12:00     23 04 28.35 -04 57 39.7 1.26069591212190   1.3464246  10.484888
 2014-Jan-14 12:00     23 08 05.21 -04 34 51.1 1.26147162080686   1.3396106  10.491340
 2014-Jan-15 12:00     23 11 41.81 -04 11 58.5 1.26224343674220   1.3329407  10.497759
 2014-Jan-16 12:00     23 15 18.16 -03 49 02.4 1.26301143412827   1.3263830  10.504146
 2014-Jan-17 12:00     23 18 54.29 -03 26 03.0 1.26377566772471   1.3199014  10.510502
 2014-Jan-18 12:00     23 22 30.22 -03 03 00.7 1.26453616905290   1.3134516  10.516827
 2014-Jan-19 12:00     23 26 05.96 -02 39 55.8 1.26529294195418   1.3069818  10.523121
 2014-Jan-20 12:00     23 29 41.55 -02 16 48.7 1.26604595816725   1.3004333  10.529383
 2014-Jan-21 12:00     23 33 16.99 -01 53 39.6 1.26679515397408   1.2937417  10.535614
 2014-Jan-22 12:00     23 36 52.32 -01 30 28.9 1.26754042626327   1.2868349  10.541812
 2014-Jan-23 12:00     23 40 27.55 -01 07 17.0 1.26828162757925   1.2796298  10.547977
 2014-Jan-24 12:00     23 44 02.71 -00 44 04.1 1.26901855801051   1.2720298  10.554106
 2014-Jan-25 12:00     23 47 37.82 -00 20 50.7 1.26975095910635   1.2639274  10.560197
 2014-Jan-26 12:00     23 51 12.90 +00 02 23.1 1.27047850634725   1.2552017  10.566248
 2014-Jan-27 12:00     23 54 47.98 +00 25 36.8 1.27120080619064   1.2457400  10.572255
 2014-Jan-28 12:00     23 58 23.07 +00 48 50.1 1.27191740216491   1.2354372  10.578214
